Row	Myrs	Stage	SubEpoch	Epoch	Period	Myr_cumulative	midpoint
1	14	Fortunian	Terreneuvian	LowerCambrian	Cambrian	542	535
2	7	Stage2	Terreneuvian	LowerCambrian	Cambrian	528	524.5
3	6	Stage3	Series2	LowerCambrian	Cambrian	521	518
4	5	Stage4	Series2	LowerCambrian	Cambrian	515	512.5
5	3.5	Stage5	Series3	MiddleCambrian	Cambrian	510	508.25
6	3.5	Drumian	Series3	MiddleCambrian	Cambrian	506.5	504.75
7	4	Guzhangian	Series3	MiddleCambrian	Cambrian	503	501
8	3	Paibian	Furongian	UpperCambrian	Cambrian	499	497.5
9	4	Stage9	Furongian	UpperCambrian	Cambrian	496	494
10	3.7	Stage10	Furongian	UpperCambrian	Cambrian	492	490.15
11	9.7	Tremadocian	LowerOrdovician	LowerOrdovician	Ordovician	488.3	483.45
12	6.8	Floian	LowerOrdovician	LowerOrdovician	Ordovician	478.6	475.2
13	3.7	Dapingian	MiddleOrdovician	MiddleOrdovician	Ordovician	471.8	469.95
14	7.2	Darriwilian	MiddleOrdovician	MiddleOrdovician	Ordovician	468.1	464.5
15	5.1	Sandbian	UpperOrdovician	UpperOrdovician	Ordovician	460.9	458.35
16	10.2	Katian	UpperOrdovician	UpperOrdovician	Ordovician	455.8	450.7
17	1.9	Hirnantian	UpperOrdovician	UpperOrdovician	Ordovician	445.6	444.65
18	4.7	Rhuddanian	Llandovery	Llandovery	Silurian	443.7	441.35
19	3	Aeronian	Llandovery	Llandovery	Silurian	439	437.5
20	7.8	Telychian	Llandovery	Llandovery	Silurian	436	432.1
21	2	Sheinwoodian	Wenlock	Wenlock	Silurian	428.2	427.2
22	3.3	Homerian	Wenlock	Wenlock	Silurian	426.2	424.55
23	1.6	Gorstian	Ludlow	Ludlow	Silurian	422.9	422.1
24	2.6	Ludfordian	Ludlow	Ludlow	Silurian	421.3	420
25	2.7	Pridoli	Pridoli	Pridoli	Silurian	418.7	417.35
26	4.8	Lochkovian	LowerDevonian	LowerDevonian	Devonian	416	413.6
27	4.2	Pragian	LowerDevonian	LowerDevonian	Devonian	411.2	409.1
28	9.5	Emsian	LowerDevonian	LowerDevonian	Devonian	407	402.25
29	5.7	Eifelian	MiddleDevonian	MiddleDevonian	Devonian	397.5	394.65
30	6.5	Givetian	MiddleDevonian	MiddleDevonian	Devonian	391.8	388.55
31	10.8	Frasnian	UpperDevonian	UpperDevonian	Devonian	385.3	379.9
32	15.3	Famennian	UpperDevonian	UpperDevonian	Devonian	374.5	366.85
33	13.9	Tournaisian	LowerMississippian	Mississippian	Carboniferous	359.2	352.25
34	18.9	Visean	MiddleMississippian	Mississippian	Carboniferous	345.3	335.85
35	8.3	Serpukhovian	UpperMississippian	Mississippian	Carboniferous	326.4	322.25
36	6.4	Bashkirian	LowerPennsylvanian	Pennsylvanian	Carboniferous	318.1	314.9
37	5.2	Moscovian	MiddlePennsylvanian	Pennsylvanian	Carboniferous	311.7	309.1
38	2.6	Kasimovian	UpperPennsylvanian	Pennsylvanian	Carboniferous	306.5	305.2
39	4.9	Gzhelian	UpperPennsylvanian	Pennsylvanian	Carboniferous	303.9	301.45
40	4.4	Asselian	Cisuralian	Cisuralian	Permian	299	296.8
41	10.2	Sakmarian	Cisuralian	Cisuralian	Permian	294.6	289.5
42	8.8	Artinskian	Cisuralian	Cisuralian	Permian	284.4	280
43	5	Kungurian	Cisuralian	Cisuralian	Permian	275.6	273.1
44	2.6	Roadian	Guadalupian	Guadalupian	Permian	270.6	269.3
