taxa	condense	Sandbian	Katian	Hirnantian	Aeronian	Homerian	Lochkovian	Pragian	Emsian	Eifelian
adaemona	1	0	0	0	0	0	1	0	0	0
albata	2	0	0	0	0	0	0	1	0	0
brikelos	3	0	0	0	0	0	0	1	0	0
bucco	4	0	0	0	0	0	0	0	0	1
chynicensis	5	0	0	0	0	0	0	0	1	0
coloxyl	6	0	0	0	1	0	0	0	0	0
convergens	7	0	0	0	0	0	0	0	0	1
cornuticauda	8	0	0	0	0	0	0	0	0	1
cortezensis	9	0	0	0	0	0	0	1	0	0
cozarti	10	0	0	0	0	0	1	0	0	0
cyrius	11	0	0	0	0	0	0	0	0	1
dispersa	12	0	0	0	0	0	1	0	0	0
dvoraki	13	0	0	0	0	0	0	0	1	0
eox	14	0	0	0	0	0	0	0	0	1
filae	15	0	0	0	0	0	0	0	1	0
fuscina	16	0	0	0	0	0	0	0	0	1
graffhami	17	0	0	0	0	0	1	0	0	0
insolita	18	0	0	0	0	0	0	1	0	0
kofelae	19	0	0	0	0	1	0	0	0	0
lanigera	20	0	0	0	0	0	0	1	0	0
matutina	21	1	1	1	0	0	0	0	0	0
maura	22	0	0	0	0	0	0	1	0	0
mydlakia	23	0	0	0	0	0	0	0	0	1
pennata	24	0	0	0	0	0	0	0	1	0
pustulata	25	0	0	0	0	0	0	1	0	0
salax	26	0	0	0	0	1	0	0	0	0
sandbergeri	27	0	0	0	0	0	0	1	0	0
sperata	28	0	0	0	0	0	0	1	0	0
subterarmata	29	0	0	0	0	0	0	0	1	0
tafilaltana	30	0	0	0	0	0	0	1	0	0
ursula	31	0	0	0	0	0	0	1	0	0
villosa	32	0	0	0	0	0	0	1	0	0
zapletali	33	0	0	0	0	0	0	1	0	0
LACHANA	34	0	0	0	0	0	0	0	1	0
TIMARZITE	35	0	0	0	0	0	0	0	1	0
ZGUILMA	36	0	0	0	0	0	0	0	1	0
Laethoprusian_sp_A	37	0	0	0	0	1	0	0	0	0
sp_of_Ormiston	38	0	0	0	0	0	1	1	1	0
cf_subterarmata	39	0	0	0	0	0	0	0	1	0
